CharacterID,CharacterName,CharacterOccupation,PlayedBy,AdditionalInformation
10001,A.J,Salesman,Rob Huebel,'{}'
10002,Abby,Kid,Haley Daniels,'{}'
10003,Alan,Cartoon Artist,Robert Bagnell,'{}'
10004,Alan Bran,CEO,Alan Fudge,'{}'
10005,Alex,Student,Rich Sommer,'{}'
10006,Alice,Marketing Consultant,Rich Sommer,'{}'
10007,Amy,None,Janine Poreba,'{}'
10008,Andy Bernand,"Salesman,Dunder Mifflin Branch Manager,Cornell Admissions Director",Ed Helms,'{}'
10009,Angela Martin,Accountant,Angela Kinsey,'{}'
10010,Angelo Grotti,"Insurance Salesman,Mobster",Mike Starr,'{}'
10011,Arnie Rissman,Hammermill Representative,None,'{}'
10012,Asian Jim,Actor,Randall Park,'{}'
10013,Astrid Levinson,Kid,Molly Burk,'{}'
10014,Aunt Shirley," None",Mary Gillis,'{}'
10015,Barbara Allen,None,Lisa Darr,'{}'
10016,Barbara Keevis,Local Investor,Connie Sawyer,'{}'
10017,Bert California,Kid,David Mazouz,'{}'
10018,Betsy Halpert,Mom,Perry Smith,'{}'
10019,Bill Cress,Owner of Cress Tool & Die,Terrence Beasor,'{}'
10020,Billy Merchant,Property Manager,Marcus A. York,'{}'
10021,Bob Vance,Owner of Vance Refridgeration,Bobby Ray Shafer,'{}'
10022,Brandon,Owner of resturant,Jerry Minor,'{}'
10023,Brenda Matlowe,Corporate Trainer,Brenda Withers,'{}'
10024,Brian,Boom Operator,Chris Diamantopoulos,'{}'
10025,Broccoli Rob,Cornell Employee,Stephen Colbert,'{}'
10026,Mr. Brown,Diversity Today Trainer,Larry Wilmore,'{}'
10027,Bruce,Warehouse Worker,Mike E. Winfield,'{}'
10028,Captin Jack,Boat Captain,Rob Riggle,'{}'
10029,Carla,Youth Minister,Zoe Jarman,'{}'
10030,Carla Fern,Talent Agent,Roseanne Barr,'{}'
10031,Carol Stills,Realtor,Nancy Carell,'{}'
10032,Casey Dean,Singer,Jessica St. Clair,'{}'
10033,Cathy Simms,Temporary Receptionist,Lindsey Broad,'{}'
10034,Cecelia Halpert,Kid,"Mia Cavolic,Bailey Strull,Sienna Strull",'{}'
10035,Chad Ligh,Newspaper Writer,Anthony Russell,'{}'
10036,Charles Minor,Vice President of Northeast Salesman,Idris Elba,'{}'
10037,Chet Montgomery,Meteorologist,Damani Roberts,'{}'
10038,Chris Kotter,Improv Teacher,Michael Naughton,'{}'
10039,Christian,Lackawanna County Representative,Tim Meadows,'{}'
10040,Christian Slater,"Spokesperson for Sabre,Actor",Christian Slater,'{}'
10041,Clark,Lactation Consultant,Lee Kirk,'{}'
10042,Clark Green,"Customer Service Representative,Junior Salesman",Clark Duke,'{}'
10043,Colin,Athlead Partner,Sam Richardson,'{}'
10044,Concierge Marie,Concierge,Sam Richardson,'{}'
10045,Craig,Dunder Mifflin Branch Manager,Craig Anton,'{}'
10046,Creed Braton,"Quality Assurance,Acting Manager",Creed Bratton,'{}'
10047,Cynthia,Nurse,Algerita Wynn Lewis,'{}'
